url,address,price,State of the property,Availability,Number of bedrooms,postal_code,city,Surface bedroom 1,Livable surface,Furnished,Kitchen equipment,Kitchen type,Number of showers,Number of toilets,Type of heating,Type of glazing,Entry phone,Elevator,Access for disabled,Floor of appartment,Number of facades,Number of floors,Garden,Terrace,Surface terrace,Swimming pool,Specific primary energy consumption,Validity date EPC/PEB,CO2 emission,Certification - Electrical installation,Flooding Area type,Demarcated flooding area
https://immovlan.be/en/detail/apartment/for-sale/8420/de-haan/rbt17830,August Pauwelslaan 41 2V,259000,To renovate,,2,8420,de-haan,,95 m²,,,,,,Gas,Double glass,Yes,No,No,2,,,No,Yes,,,150 kWh/m²/year,,,No certificate,no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/8420/de-haan/rbs93633,Goudfazantlaan 2 0301,225000,To be renovated,,2,8420,de-haan,,96 m²,No,Partially equipped,,,,Gas,,,Yes,,3,,,,Yes,,,132 kWh/m²/year,,,Not applicable,no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/8420/de-haan/rbt79834,Nieuwe Steenweg 208,339000,Excellent,,3,8420,de-haan,,98 m²,,,,,2,,,Yes,Yes,,3,,3,No,Yes,,,105 kWh/m²/year,,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/8420/wenduine/rwc38771,Langestraat 16 0201,220000,,,2,8420,wenduine,,68 m²,,,,,,Gas,,,No,,2,,2,,,,,451 kWh/m²/year,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/8420/wenduine/rwc39699,Markt 8 0201,289000,,,2,8420,wenduine,,74 m²,,Fully equipped,,,,Gas,,,No,,2,,2,,Yes,,No,,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/8420/de-haan/rbs99915,Ringlaan-Noord 12,225000,Normal,On contract,2,8420,de-haan,,67 m²,No,Fully equipped,Western kitchen,,1,Gas,Double glass,Yes,No,No,1,3,3,,,,No,218 kWh/m²/year,25/03/2025,,"yes, certificate in accordance",no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/8421/vlissegem/rwc39739,molendreef,365000,Excellent,,1,8421,vlissegem,,72 m²,,,,,,Gas,,Yes,Yes,Yes,,1,,,Yes,5 m²,,,,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/8420/de-haan/rbt76599,Nieuwe Steenweg 363 0105,349000,To be renovated,,3,8420,de-haan,,108 m²,,,,,2,Electricity,Double glass,,Yes,,1,,4,Yes,Yes,,No,253 kWh/m²/year,,,No certificate,no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/8420/de-haan/rbt03044,Torenhofstraat 2 A206,75000,Normal,On contract,1,8420,de-haan,11 m²,29 m²,Yes,Fully equipped,Western kitchen,,1,Electricity,Double glass,,Yes,Yes,2,2,3,Yes,Yes,5 m²,No,408 kWh/m²/year,,,"yes, certificate in accordance",no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/8420/de-haan/rbt73046,Vosseslag 143 0007,210000,Excellent,,1,8420,de-haan,,53 m²,Yes,,,,,Gas,Double glass,,Yes,,0,,3,Yes,Yes,,No,112 kWh/m²/year,,,"yes, certificate in accordance",no flooding area,(information not available)
